year,World,Europe,North America & Oceania,Latin America,Middle East & North Africa,Sub-Saharan Africa,Russia & Central Asia,East Asia,South & Southeast Asia
2008,0.5466641187667847,0.5872328877449036,0.6471424102783203,0.486687034368515,0.4101429581642151,0.5175948739051819,0.5960768461227417,0.5195808410644531,0.496063768863678
2009,0.5528578162193298,0.5980386734008789,0.6378089189529419,0.5077820420265198,0.43146079778671265,0.5187705159187317,0.628172755241394,0.5247759222984314,0.5008633136749268
2010,0.5397201776504517,0.5931415557861328,0.5973427891731262,0.4988817870616913,0.4296824634075165,0.523013174533844,0.5989506840705872,0.5183254480361938,0.499471515417099
2011,0.5351607203483582,0.5908980369567871,0.5960879325866699,0.49856117367744446,0.421662837266922,0.5220090746879578,0.5546730756759644,0.5174728631973267,0.5001656413078308
2012,0.5357046723365784,0.5946369767189026,0.5921550393104553,0.5055217742919922,0.41269558668136597,0.5232967734336853,0.5574629902839661,0.5228827595710754,0.5017989873886108
2013,0.5358570218086243,0.5940344929695129,0.5929341912269592,0.5078015327453613,0.4125528931617737,0.5226919651031494,0.5734662413597107,0.5203334093093872,0.503279983997345
2014,0.5349330902099609,0.589874267578125,0.5896948575973511,0.5095695853233337,0.4180065393447876,0.520847499370575,0.5750352740287781,0.5211964845657349,0.502985417842865
2015,0.5362213850021362,0.5852537155151367,0.5943916440010071,0.5136196613311768,0.4413353502750397,0.5181763768196106,0.5525462031364441,0.5249583125114441,0.5020741820335388
2016,0.5437822341918945,0.5863723754882812,0.6317735910415649,0.5104527473449707,0.4528961181640625,0.514342725276947,0.5517428517341614,0.527741014957428,0.5036292672157288
2017,0.5432679653167725,0.5871749520301819,0.633962094783783,0.5058321356773376,0.4464609622955322,0.5155858993530273,0.5484541654586792,0.5273730754852295,0.5054559111595154
2018,0.5423345565795898,0.5906488299369812,0.6332902312278748,0.5016745924949646,0.44644251465797424,0.5162575244903564,0.5273115038871765,0.5279689431190491,0.5048160552978516
2019,0.544748842716217,0.5973973274230957,0.6290861368179321,0.505804181098938,0.45167413353919983,0.5181445479393005,0.5327258706092834,0.5302891135215759,0.506783127784729
2020,0.5443626046180725,0.6008310317993164,0.6262401938438416,0.5055611729621887,0.44994959235191345,0.5137509703636169,0.5322138667106628,0.529622495174408,0.5054810643196106
2021,0.5388314127922058,0.5918800234794617,0.6180804371833801,0.49387237429618835,0.45186030864715576,0.5119277834892273,0.5280390381813049,0.5217053890228271,0.505985677242279
2022,0.5361521244049072,0.587011992931366,0.6136049032211304,0.49415478110313416,0.45090293884277344,0.5111933350563049,0.5229162573814392,0.5205031633377075,0.5061125755310059
2023,0.5351954102516174,0.5841735005378723,0.6152613759040833,0.49566730856895447,0.45135459303855896,0.510593831539154,0.5232966542243958,0.5200597643852234,0.5039360523223877
2024,0.5348464846611023,0.5845843553543091,0.6152474284172058,0.4955272078514099,0.4511008560657501,0.5100745558738708,0.5233413577079773,0.5193860530853271,0.5040395855903625
2025,0.5344711542129517,0.5847395658493042,0.6152693629264832,0.495410680770874,0.45086297392845154,0.5096573829650879,0.5232554078102112,0.5187391638755798,0.504142165184021
